ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AX - Other antiinflammatory and antirheumatic agents -  non-steroids in ATC;M01AX18 - feprazone
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CD - Benzodiazepine derivative hypnotics and sedatives;N05CD13 - cinolazepam
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AA - Selective immunosuppressants;L04AA28 - belatacept
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XA - Electrolyte solutions;B05XA11 - magnesium chloride
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07X - OTHER NERVOUS SYSTEM DRUGS in ATC;N07XX - Other nervous system drugs in ATC;N07XX03 - xaliproden
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01C - CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES;C01CA - Adrenergic and dopaminergic cardiac stimulants;C01CA16 - ibopamine
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AC - Diphenylpropylamine derivative analgesics;N02AC74 - dextropropoxyphene -  combinations with psycholeptics
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01D - VASODILATORS USED IN CARDIAC DISEASES;C01DX - Other vasodilators used in cardiac diseases in ATC;C01DX18 - linsidomine
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GX - Other antiallergics in ATC;S01GX04 - nedocromil
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AC - Bulk-forming laxatives;A06AC06 - methylcellulose
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02A - ANTACIDS;A02AF - Antacids with antiflatulents;A02AF01 - magaldrate and antiflatulents
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC11 - oxiconazole
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07B - DRUGS USED IN ADDICTIVE DISORDERS;N07BC - Drugs used in opioid dependence;N07BC06 - diamorphine
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01H - Local anesthetics -  ophthalmologic;S01HA - Local anesthetics;S01HA07 - lidocaine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AF - Thioxanthene derivatives -  antipsychotic;N05AF03 - chlorprothixene
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A08 - ANTIOBESITY PREPARATIONS -  EXCL. DIET PRODUCTS;A08A - ANTIOBESITY PREPARATIONS -  EXCL. DIET PRODUCTS;A08AB - Peripherally acting antiobesity products;A08AB01 - orlistat
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GX - Other antiallergics in ATC;S01GX07 - azelastine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A07 - ANTIDIARRHEALS -  INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;A07A - INTESTINAL ANTIINFECTIVES;A07AX - Other intestinal antiinfectives in ATC;A07AX04 - nifurzide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04B - DRUGS FOR TREATMENT OF LEPRA;J04BA - Drugs for treatment of lepra;J04BA03 - aldesulfone sodium
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AE - Propionic acid derivatives -  antiinflammatory and antirheumatic products;M01AE04 - fenoprofen
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AB - Heparin group antithrombotic drugs;B01AB08 - reviparin
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AX - Other gynecological antiinfectives and antiseptics in ATC;G01AX13 - protiofate
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01E - OTHER CARDIAC PREPARATIONS in ATC;C01EB - Other plain cardiac preparations in ATC;C01EB21 - regadenoson
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03A - LOW-CEILING DIURETICS -  THIAZIDES;C03AB - Thiazides and potassium in combination;C03AB02 - hydroflumethiazide and potassium
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A01 - STOMATOLOGICAL PREPARATIONS;A01A - STOMATOLOGICAL PREPARATIONS;A01AB - Antiinfectives and antiseptics for local oral treatment;A01AB02 - hydrogen peroxide
N - NERVOUS SYSTEM DRUGS;N07 - OTHER NERVOUS SYSTEM DRUGS in ATC;N07C - ANTIVERTIGO PREPARATIONS;N07CA - Antivertigo preparations;N07CA52 - cinnarizine -  combinations
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AB - Antibiotic throat preparations;R02AB01 - neomycin
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BA - Acidifiers;G04BA01 - ammonium chloride
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BJ - Glucagon-like peptide-1 (GLP-1) analogues;A10BJ01 - exenatide
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AE - Propionic acid derivatives -  antiinflammatory and antirheumatic products;M01AE07 - suprofen
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AD - local anesthetic throat preparations;R02AD02 - lidocaine
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XA - Electrolyte solutions;B05XA14 - sodium glycerophosphate
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AB - Synthetic anticholinergics -  quaternary ammonium compounds for functional gastrointestinal disorders;A03AB15 - diphemanil
R - RESPIRATORY SYSTEM DRUGS;R02 - THROAT PREPARATIONS;R02A - THROAT PREPARATIONS;R02AB - Antibiotic throat preparations;R02AB04 - bacitracin
D - DERMATOLOGICALS;D04 - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04A - ANTIPRURITICS -  INCL. ANTIHISTAMINES -  ANESTHETICS -  ETC.;D04AA - Antihistamines for topical use;D04AA14 - clemastine
D - DERMATOLOGICALS;D10 - ANTI-ACNE PREPARATIONS;D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE;D10AE - Peroxide anti-acne preparations for topical use;D10AE51 - benzoyl peroxide -  combinations
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AB - Arsenic compounds -  Gynecological;G01AB01 - acetarsol
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC14 - sertaconazole
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10B - BLOOD GLUCOSE LOWERING DRUGS -  EXCL. INSULINS;A10BJ - Glucagon-like peptide-1 (GLP-1) analogues;A10BJ04 - albiglutide
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01G - DECONGESTANTS AND ANTIALLERGICS;S01GX - Other antiallergics in ATC;S01GX51 - cromoglicic acid -  combinations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AC - Bulk-forming laxatives;A06AC53 - sterculia -  combinations
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AC - Bile acid sequestrants;C10AC03 - colextran
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AF - Nitrofuran derivatives -  antiseptics and disinfectants;D08AF01 - nitrofural
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AC - Cyclic amines -  direct acting antivirals;J05AC03 - tromantadine
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BE - Drugs used in erectile dysfunction;G04BE07 - apomorphine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CA - Barbiturates -  hypnotics and sedatives -  plain;N05CA22 - proxibarbal
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AE - Propionic acid derivatives -  antiinflammatory and antirheumatic products;M01AE51 - ibuprofen -  combinations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A01 - STOMATOLOGICAL PREPARATIONS;A01A - STOMATOLOGICAL PREPARATIONS;A01AB - Antiinfectives and antiseptics for local oral treatment;A01AB05 - polynoxylin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02A - ANTACIDS;A02AC - antacids containing calcium compounds;A02AC10 - Calcium antacid compound combinations
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03G - GONADOTROPINS AND OTHER OVULATION STIMULANTS;G03GA - Gonadotropins;G03GA08 - choriogonadotropin alfa
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AK - Mercurial antiseptic and disinfectant products;D08AK03 - mercuric chloride
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01A - ALKYLATING AGENTS;L01AC - Ethylene imines -  antineoplastic alkylating drugs;L01AC03 - carboquone
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BA - Benzodiazepine derivative anxiolytics;N05BA07 - adinazolam
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01M - QUINOLONE ANTIBACTERIALS;J01MA - Fluoroquinolone antibacterials -  systemic;J01MA12 - levofloxacin
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AA - Natural opium alkaloid analgesics;N02AA02 - opium
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A14 - ANABOLIC AGENTS FOR SYSTEMIC USE;A14A - ANABOLIC STEROIDS;A14AA - Androstan derivatives;A14AA05 - oxymetholone
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AF - Insulins and analogues for inhalation;A10AF01 - insulin (human)
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AH - Meningococcal vaccines;J07AH02 - other meningococcal monovalent purified polysaccharides antigen
V - VARIOUS DRUG CLASSES IN ATC;V04 - DIAGNOSTIC AGENTS;V04C - OTHER DIAGNOSTIC AGENTS in ATC;V04CH - renal function and ureteral injuries test diagnostic agents;V04CH30 - aminohippuric acid
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DB - First-generation cephalosporins;J01DB05 - cefadroxil
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AB - Acetic acid derivatives and related substances;M01AB16 - aceclofenac
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX23 - mitotane
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03C - HIGH-CEILING DIURETICS;C03CA - sulfonamides -  high-ceiling diuretics -  plain;C03CA01 - furosemide
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03C - HIGH-CEILING DIURETICS;C03CC - Aryloxyacetic acid derivatives -  high-ceiling diuretics;C03CC02 - tienilic acid
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01X - OTHER ANTIBACTERIALS in ATC;J01XA - Glycopeptide antibacterials;J01XA05 - oritavancin
D - DERMATOLOGICALS;D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06A - ANTIBIOTICS FOR TOPICAL USE;D06AX - Other antibiotics for topical use in ATC;D06AX05 - bacitracin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AA - Selective immunosuppressants;L04AA03 - antilymphocyte immunoglobulin (horse)
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CA - Penicillins with extended spectrum;J01CA02 - pivampicillin
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05X - I.V. SOLUTION ADDITIVES;B05XA - Electrolyte solutions;B05XA31 - electrolytes in combination with other drugs
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07X - CORTICOSTEROIDS -  OTHER COMBINATIONS;D07XB - Corticosteroids -  moderately potent -  other combinations;D07XB03 - fluprednidene
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AA - Synthetic anticholinergics -  esters with tertiary amino group for functional gastrointestinal disorders;A03AA03 - camylofin
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AE - Piperazine derivatives -  systemic antihistamines;R06AE05 - meclozine
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02C - ANTIADRENERGIC AGENTS -  PERIPHERALLY ACTING;C02CC - Guanine derivatives -  peripherally acting antiadrenergic agents;C02CC04 - debrisoquine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L04 - IMMUNOSUPPRESSANTS;L04A - IMMUNOSUPPRESSANTS;L04AA - Selective immunosuppressants;L04AA19 - gusperimus
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16AB - Enzymes for ALIMENTARY TRACT AND METABOLISM;A16AB01 - alglucerase
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A14 - ANABOLIC AGENTS FOR SYSTEMIC USE;A14A - ANABOLIC STEROIDS;A14AA - Androstan derivatives;A14AA08 - oxandrolone
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02C - ANTIADRENERGIC AGENTS -  PERIPHERALLY ACTING;C02CA - Alpha-adrenoreceptor antagonists -  peripherally acting;C02CA03 - trimazosin
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07B - VIRAL VACCINES;J07BC - Hepatitis vaccines;J07BC01 - hepatitis B -  purified antigen
N - NERVOUS SYSTEM DRUGS;N03 - ANTIEPILEPTICS;N03A - ANTIEPILEPTICS;N03AA - Barbiturates and derivatives;N03AA04 - barbexaclone
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AD - Antivirals -  ophthalmologic;S01AD07 - famciclovir
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07C - BETA BLOCKING AGENTS AND OTHER DIURETICS;C07CA - Beta blocking agents -  non-selective -  and other diuretics;C07CA17 - bopindolol and other diuretics
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AH - Opioid anesthetics;N01AH02 - alfentanil
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01D - OTHER BETA-LACTAM ANTIBACTERIALS in ATC;J01DC - Second-generation cephalosporins;J01DC12 - cefminox
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC;A16AX - Various alimentary tract and metabolism products;A16AX03 - sodium phenylbutyrate
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AB - Synthetic anticholinergics -  quaternary ammonium compounds for functional gastrointestinal disorders;A03AB10 - hexocyclium
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AG - Non-nucleoside reverse transcriptase inhibitors;J05AG01 - nevirapine
C - CARDIOVASCULAR SYSTEM DRUGS;C03 - DIURETICS;C03A - LOW-CEILING DIURETICS -  THIAZIDES;C03AA - Thiazides -  plain;C03AA09 - cyclothiazide
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01E - SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE;J01ED - Long-acting sulfonamides;J01ED02 - sulfalene
D - DERMATOLOGICALS;D07 - CORTICOSTEROIDS -  DERMATOLOGICAL PREPARATIONS;D07A - CORTICOSTEROID DERMATOLOGICAL PREPARATIONS -  PLAIN;D07AB - Corticosteroids -  moderately potent (group II);D07AB05 - fluperolone
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AC - Platelet aggregation inhibitors excl. heparin;B01AC15 - aloxiprin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A10 - DRUGS USED IN DIABETES;A10A - INSULINS AND ANALOGUES;A10AB - Insulins and analogues for injection -  fast-acting;A10AB04 - insulin lispro
D - DERMATOLOGICALS;D11 - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11A - OTHER DERMATOLOGICAL PREPARATIONS in ATC;D11AX - OTHER DERMATOLOGICAL PREPARATIONS IN ATC;D11AX11 - hydroquinone
H - SYSTEMIC HORMONAL PREPARATIONS -  EXCL. SEX HORMONES AND INSULINS;H03 - THYROID THERAPY DRUGS;H03B - ANTITHYROID PREPARATIONS;H03BX - Other antithyroid preparations in ATC;H03BX01 - diiodotyrosine
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03X - OTHER ANTIANEMIC PREPARATIONS in ATC;B03XA - Other antianemic preparations in ATC;B03XA01 - erythropoietin
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AA - Antibiotics -  Gynecological;G01AA05 - chloramphenicol
C - CARDIOVASCULAR SYSTEM DRUGS;C05 - VASOPROTECTIVES;C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE;C05AX - Other agents for treatment of hemorrhoids and anal fissures for topical use in ATC;C05AX04 - zinc preparations
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BA - Benzodiazepine derivative anxiolytics;N05BA02 - chlordiazepoxide
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AX - Other drugs for constipation in ATC;A06AX06 - tegaserod
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01X - OTHER ANTIBACTERIALS in ATC;J01XE - Nitrofuran derivatives -  antibacterials for systemic use;J01XE03 - furazidin
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AB - Sympathomimetics -  combinations excl. corticosteroids;R01AB03 - tetryzoline
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03D - ANTISPASMODICS IN COMBINATION WITH ANALGESICS;A03DA - Synthetic anticholinergic agents in combination with analgesics;A03DA02 - pitofenone and analgesics
G - GENITO URINARY SYSTEM AND SEX HORMONES;G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS;G01A - ANTIINFECTIVES AND ANTISEPTICS -  EXCL. COMBINATIONS WITH CORTICOSTEROIDS;G01AA - Antibiotics -  Gynecological;G01AA08 - carfecillin
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE;R01AD - Corticosteroid nasal preparations for topical use;R01AD04 - flunisolide
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AC - Platelet aggregation inhibitors excl. heparin;B01AC18 - triflusal
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AB - Selective serotonin reuptake inhibitors;N06AB08 - fluvoxamine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01R - COMBINATIONS OF ANTIBACTERIALS;J01RA - Combinations of antibacterials;J01RA12 - ciprofloxacin and ornidazole
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AX - Other antihistamines for systemic use in ATC;R06AX29 - bilastine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XD - Sensitizers used in photodynamic/radiation therapy;L01XD06 - efaproxiral
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06A - ANTIDEPRESSANTS;N06AX - Other antidepressants in ATC;N06AX07 - minaprine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AD - Osmotically acting laxatives;A06AD16 - mannitol
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01B - ANTIMALARIALS;P01BF - Artemisinin and derivatives -  combinations;P01BF01 - artemether and lumefantrine
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01C - PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS -  ANTINEOPLASTIC DRUGS;L01CD - Taxanes -  antineoplastic;L01CD03 - paclitaxel poliglumex
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01X - OTHER OPHTHALMOLOGICALS IN ATC;S01XA - Other ophthalmologicals in ATC;S01XA14 - heparin
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B03 - ANTIANEMIC PREPARATIONS;B03X - OTHER ANTIANEMIC PREPARATIONS in ATC;B03XA - Other antianemic preparations in ATC;B03XA04 - peginesatide
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02K - OTHER ANTIHYPERTENSIVES in ATC;C02KB - Tyrosine hydroxylase inhibitors -  antihypertensives;C02KB01 - metirosine
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10B - LIPID MODIFYING AGENTS -  COMBINATIONS;C10BA - HMG CoA reductase inhibitors in combination with other lipid modifying agents;C10BA05 - atorvastatin and ezetimibe
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05A - ANTIPSYCHOTICS;N05AC - Phenothiazines with piperidine structure -  antipsychotics;N05AC03 - mesoridazine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01G - AMINOGLYCOSIDE ANTIBACTERIALS;J01GB - Other aminoglycosides in ATC;J01GB07 - netilmicin
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03D - ANTISPASMODICS IN COMBINATION WITH ANALGESICS;A03DA - Synthetic anticholinergic agents in combination with analgesics;A03DA05 - camylofin and analgesics
V - VARIOUS DRUG CLASSES IN ATC;V03 - ALL OTHER THERAPEUTIC PRODUCTS;V03A - ALL OTHER THERAPEUTIC PRODUCTS;V03AB - Antidotes;V03AB38 - andexanet alfa
